epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.3878,1.40007,1.91933,1.55609,0.95369,0.94696,0.97439,0.59138,1.4101,0.80064,1.46321,0.002,0.002,0.002
2,116.834,1.20705,0.77331,1.35043,0.95151,0.94997,0.96777,0.55781,1.38389,0.84504,1.4327,0.001901,0.001901,0.001901
3,173.914,1.17717,0.6712,1.31278,0.97413,0.96323,0.98246,0.59196,1.35019,0.70113,1.38334,0.001802,0.001802,0.001802
4,231.196,1.17136,0.63585,1.31007,0.97478,0.97833,0.99134,0.65124,1.22789,0.5883,1.30886,0.001703,0.001703,0.001703
5,288.375,1.14648,0.58633,1.29231,0.98592,0.94816,0.98395,0.65197,1.23696,0.6206,1.32819,0.001604,0.001604,0.001604
6,345.525,1.12844,0.57655,1.28772,0.98664,0.97907,0.99355,0.64425,1.26175,0.57676,1.34116,0.001505,0.001505,0.001505
7,402.525,1.12013,0.54763,1.2706,0.98784,0.97971,0.99161,0.64268,1.29493,0.56597,1.32168,0.001406,0.001406,0.001406
8,460.611,1.10712,0.53851,1.253,0.98905,0.9802,0.99362,0.66924,1.20718,0.51302,1.27048,0.001307,0.001307,0.001307
9,517.417,1.09078,0.51441,1.24552,0.99205,0.97745,0.99415,0.67054,1.21951,0.51911,1.28434,0.001208,0.001208,0.001208
10,574.43,1.09754,0.50864,1.24152,0.98491,0.9833,0.99329,0.62195,1.3351,0.5296,1.34437,0.001109,0.001109,0.001109
11,632.821,1.08877,0.49508,1.23861,0.99155,0.9789,0.99385,0.66528,1.2051,0.49804,1.27495,0.00101,0.00101,0.00101
12,689.816,1.08488,0.48587,1.23937,0.99365,0.98312,0.9942,0.67278,1.20754,0.47815,1.28071,0.000911,0.000911,0.000911
13,746.739,1.07322,0.47319,1.22404,0.99208,0.98373,0.99401,0.70181,1.14769,0.47913,1.25175,0.000812,0.000812,0.000812
14,803.971,1.05961,0.45628,1.22227,0.98476,0.99096,0.99399,0.66145,1.21147,0.47513,1.28668,0.000713,0.000713,0.000713
15,861.179,1.05464,0.4512,1.21783,0.9921,0.98373,0.99407,0.70314,1.18946,0.46723,1.25886,0.000614,0.000614,0.000614
16,918.452,1.05465,0.44489,1.21064,0.99214,0.98858,0.99396,0.68282,1.18054,0.44529,1.25445,0.000515,0.000515,0.000515
17,975.631,1.03395,0.43156,1.20869,0.98893,0.98855,0.99395,0.68237,1.19568,0.44587,1.26294,0.000416,0.000416,0.000416
18,1032.94,1.03143,0.42306,1.20217,0.99045,0.99277,0.99438,0.68512,1.17408,0.43764,1.25367,0.000317,0.000317,0.000317
19,1090.41,1.02664,0.41473,1.20002,0.99049,0.99216,0.99437,0.693,1.17862,0.42721,1.24479,0.000218,0.000218,0.000218
20,1147.58,1.023,0.40685,1.1897,0.99157,0.99261,0.99431,0.70228,1.15113,0.42012,1.23475,0.000119,0.000119,0.000119
